name,rating,reviews,price_range,category,address,phone,website,hours,plus_code,description,google_maps_url,instagram,tiktok,photos,videos,reviews_data
"Bluerry Coffee and Eatery","4.5","523","","","","","","","","","https://www.google.com/maps/place/Bluerry+Coffee+and+Eatery/data=!4m7!3m6!1s0x2e78575db74857df:0xc44a5ba6228a3d6e!8m2!3d-7.8171304!4d112.0158881!16s%2Fg%2F11vd8v2m7h!19sChIJ31dIt11XeC4Rbj2KIqZbSsQ","","","","",""
"Fore Coffee - Hayam Wuruk, Kediri","4.6","588","Rp 25–50 rb","","","","","","","","https://www.google.com/maps/place/Fore+Coffee+-+Hayam+Wuruk,+Kediri/data=!4m7!3m6!1s0x2e7857b0928d389d:0x945cbbd312e76e20!8m2!3d-7.8152556!4d112.0170393!16s%2Fg%2F11vc6_91fp!19sChIJnTiNkrBXeC4RIG7nEtO7XJQ","","","","",""
"Bern Coffee House","4.9","292","Rp 25–50 rb","","","","","","","","https://www.google.com/maps/place/Bern+Coffee+House/data=!4m7!3m6!1s0x2e7857001b527fb1:0x242eba049959ef6c!8m2!3d-7.804448!4d112.0087557!16s%2Fg%2F11wg831hcp!19sChIJsX9SGwBXeC4RbO9ZmQS6LiQ","","","","",""
"San's Coffee Space","4.6","117","Rp 25–50 rb","","","","","","","","https://www.google.com/maps/place/San%27s+Coffee+Space/data=!4m7!3m6!1s0x2e7857002e3a57c3:0x98a0530efb7722b3!8m2!3d-7.8212831!4d112.0245698!16s%2Fg%2F11yhb3fk42!19sChIJw1c6LgBXeC4RsyJ3-w5ToJg","","","","",""
"SUATUKOPI Coffee and Space","4.5","196","Rp 1–25.000","","","","","","","","https://www.google.com/maps/place/SUATUKOPI+Coffee+and+Space/data=!4m7!3m6!1s0x2e7857d3efa1272f:0xf0d586c2f91c9237!8m2!3d-7.8153913!4d112.0254129!16s%2Fg%2F11kblmqdw4!19sChIJLyeh79NXeC4RN5Ic-cKG1fA","","","","",""
"TEMPAT BERCAKAP KOPI KEDIRI","4.7","2529","Rp 25–50 rb","","","","","","","","https://www.google.com/maps/place/TEMPAT+BERCAKAP+KOPI+KEDIRI/data=!4m7!3m6!1s0x2e7857d4d75c2d39:0x55233fc3cb4b8a22!8m2!3d-7.8123768!4d112.0383925!16s%2Fg%2F11js277yrj!19sChIJOS1c19RXeC4RIopLy8M_I1U","","","","",""
"REPUBLIK DENDY CAFE KEDIRI","4.6","1497","Rp 25–50 rb","REPUBLIK DENDY CAFE KEDIRI  4,6(1.497)","","","","","","","https://www.google.com/maps/place/REPUBLIK+DENDY+CAFE+KEDIRI/data=!4m7!3m6!1s0x2e78571d69c67fa9:0x60a3e8229cab45dc!8m2!3d-7.8139898!4d111.9667383!16s%2Fg%2F11l2cp9hm3!19sChIJqX_GaR1XeC4R3EWrnCLoo2A","","","","",""
"Kocokin Coffeeshop Kediri","4.4","894","Rp 1–25.000","Buka Kam pukul 13.00  ""Cafe dengan konsep outdoor.""","","","","","","","https://www.google.com/maps/place/Kocokin+Coffeeshop+Kediri/data=!4m7!3m6!1s0x2e78574f0bee00df:0x8f9609f7cf34a895!8m2!3d-7.8301123!4d112.0389583!16s%2Fg%2F11hqxj6dvd!19sChIJ3wDuC09XeC4Rlag0z_cJlo8","","","","",""
"SK Coffee Lab.","4.6","1331","Rp 25–50 rb","","","","","","","","https://www.google.com/maps/place/SK+Coffee+Lab./data=!4m7!3m6!1s0x2e78576b42bb2add:0x1f5a767fc44436ca!8m2!3d-7.8162919!4d112.0251726!16s%2Fg%2F11f3tvrpt7!19sChIJ3Sq7QmtXeC4RyjZExH92Wh8","","","","",""
"ESTAR Cafe & Eatery","4.5","114","Rp 25–50 rb","ESTAR Cafe & Eatery  4,5(114)","","","","","","","https://www.google.com/maps/place/ESTAR+Cafe+%26+Eatery/data=!4m7!3m6!1s0x2e7857c291e1c8af:0x432aa46b07d36cf7!8m2!3d-7.8084502!4d112.0013465!16s%2Fg%2F11shcz122y!19sChIJr8jhkcJXeC4R92zTB2ukKkM","","","","",""
